Town_Neighborhood,District,State,Latitude,Longitude,Number_of_Residents,Venue_ID,Venue_Name,Venue_Lat,Venue_Lon,Venue_Distance,Venue_Cat_ID,Venue_Category
TERATAI,PASIR GUDANG,JOHOR,1.5603007036316108,103.61995987021056,2006,4cdfe70e78ddf04da677a398,Restoran Mee Mee Seafood,1.561254111698234,103.61529869542493,529,4bf58dd8d48988d149941735,Thai Restaurant
TERATAI,PASIR GUDANG,JOHOR,1.5603007036316108,103.61995987021056,2006,4f6b3260e4b09b90aa34da28,Restoran Masakan Thai Tomyam Awan,1.5632192918638317,103.6130294082156,836,4bf58dd8d48988d149941735,Thai Restaurant
LIMA KEDAI,GELANG PATAH,JOHOR,1.5104757022833668,103.62981039194172,5021,591ee2250d2be762936a4b08,13幺美食閣,1.5163522560933942,103.63316562097513,753,4bf58dd8d48988d149941735,Thai Restaurant
KEBUN TEH,JOHOR BAHRU,JOHOR,1.4863452222174232,103.74982669639131,1096,4f1b5ab4e4b0ce22e57a1f0c,Restoran Mat Jan,1.4806668117648436,103.75318609709015,734,4bf58dd8d48988d149941735,Thai Restaurant
YAHYA AWAL,PULAI,JOHOR,1.4775249430909358,103.74999508709095,1715,5989f442bfc6d060c57f2b82,Super Thai Restaurant,1.48009,103.757435,875,4bf58dd8d48988d149941735,Thai Restaurant
YAHYA AWAL,PULAI,JOHOR,1.4775249430909358,103.74999508709095,1715,543fa17d498e8fa228129875,Warung Tomyam SA,1.4808520733639412,103.7572768265663,890,4bf58dd8d48988d149941735,Thai Restaurant
SRI JAYA,PULAI,JOHOR,1.500961491465152,103.6887038802094,2496,4daae6e30437dccbd8101eda,Restoran Bintang,1.4959865100382486,103.683462908875,804,4bf58dd8d48988d149941735,Thai Restaurant
PUCUNG PERLING,PULAI,JOHOR,1.4941176661951556,103.68407503319513,1730,4d3982291fc36dcb02bd5bf5,Kinnaree Kitchen,1.493768048142506,103.67887764273908,579,4bf58dd8d48988d149941735,Thai Restaurant
KEBANGSAAN,GELANG PATAH,JOHOR,1.5381065117097117,103.62930303500004,3418,4c05e9aed3842d7ff4ebbe41,Johnny's Restaurants,1.5421463511148814,103.6291835802447,449,4bf58dd8d48988d156941735,Malay Restaurant
BUKIT INDAH,PULAI,JOHOR,1.4840931096712695,103.64868473746584,5483,4ce7603f8ef78cfaa43b939b,Soul Thai Restaurant,1.4809372448320048,103.65625595162051,912,4bf58dd8d48988d149941735,Thai Restaurant
