Town_Neighborhood,District,State,Latitude,Longitude,Number_of_Residents,Venue_ID,Venue_Name,Venue_Lat,Venue_Lon,Venue_Distance,Venue_Cat_ID,Venue_Category
KEEMBONG,PASIR GUDANG,JOHOR,1.5442233963000331,103.81355719030005,3918,4f896a8ce4b0e67b850acf32,Restoran Al Mashur,1.5496195650756823,103.81175098448271,633,4bf58dd8d48988d142941735,Asian Restaurant
KEEMBONG,PASIR GUDANG,JOHOR,1.5442233963000331,103.81355719030005,3918,4e15cab0d4c0e3d78b300170,Restoran Teratap EJ,1.5481970817936208,103.8131347517193,444,4bf58dd8d48988d142941735,Asian Restaurant
KEEMBONG,PASIR GUDANG,JOHOR,1.5442233963000331,103.81355719030005,3918,58a99df6febfbd2f71bda2fa,D EJ WARISAN TIMUR,1.547782,103.81291999999999,402,4bf58dd8d48988d142941735,Asian Restaurant
KEEMBONG,PASIR GUDANG,JOHOR,1.5442233963000331,103.81355719030005,3918,4d6dc59530d5b1f755fcbd42,亚方粿条,1.537911,103.810307,790,4bf58dd8d48988d142941735,Asian Restaurant
SRI AMAR,PASIR GUDANG,JOHOR,1.5201459611538677,103.76322157205132,1895,50705123e4b0a09cd554ecfc,Pandan Uptown Food Court,1.5238240989292668,103.76617743951948,525,4bf58dd8d48988d142941735,Asian Restaurant
SRI AMAR,PASIR GUDANG,JOHOR,1.5201459611538677,103.76322157205132,1895,4cd54075dfb4a1cd48df575c,Yong Taufu Awang Kg Melayu,1.5147968385695605,103.75746030587077,874,4bf58dd8d48988d142941735,Asian Restaurant
SRI AMAR,PASIR GUDANG,JOHOR,1.5201459611538677,103.76322157205132,1895,4c9cd99d0e9bb1f7e599d75f,Restoran Osman,1.5249573643083247,103.7638830435939,540,4bf58dd8d48988d142941735,Asian Restaurant
SRI AMAR,PASIR GUDANG,JOHOR,1.5201459611538677,103.76322157205132,1895,509e7ee1e4b09f018524ff5d,d'Serai Corner Pandan Uptown,1.5249244018702517,103.76497940533429,566,4bf58dd8d48988d142941735,Asian Restaurant
SRI AMAR,PASIR GUDANG,JOHOR,1.5201459611538677,103.76322157205132,1895,5117084fe4b0d096af6411a1,Restorant Al-Mahabah,1.52556490957091,103.76300474197373,603,4bf58dd8d48988d142941735,Asian Restaurant
SRI AMAR,PASIR GUDANG,JOHOR,1.5201459611538677,103.76322157205132,1895,4d746c5a9b28224b79ccd50f,Restoran Murni,1.5145618410212731,103.75660001654629,964,4bf58dd8d48988d142941735,Asian Restaurant
JAYA MAS,GELANG PATAH,JOHOR,1.4953810260000309,103.65325757930006,2451,4cde16f741ed224b46f6d63c,Kang Bee Hoong 慷美峰烧腊鸡饭,1.4928497374537246,103.65818613466419,616,4bf58dd8d48988d142941735,Asian Restaurant
NIPAH DELIMA,TEBRAU,JOHOR,1.5443707262308064,103.75482538480772,1475,56403548cd1054a8ffc65e0f,911 Coffeeshop,1.549246713722656,103.75689568669424,589,4bf58dd8d48988d142941735,Asian Restaurant
NIPAH DELIMA,TEBRAU,JOHOR,1.5443707262308064,103.75482538480772,1475,55fe582c498ef4752fcd66e9,Restoran Gan Heong Seafood Noodles颜香魚肉海鲜面,1.5458319999999999,103.763645,994,4bf58dd8d48988d142941735,Asian Restaurant
NIPAH DELIMA,TEBRAU,JOHOR,1.5443707262308064,103.75482538480772,1475,576d29d4498ee478cefca101,卤肉霸王饭,1.5461685045211293,103.76235407130869,861,4bf58dd8d48988d142941735,Asian Restaurant
NIPAH DELIMA,TEBRAU,JOHOR,1.5443707262308064,103.75482538480772,1475,4d7782c19ee9a35d0793b3f8,Restaurant Good Taste Food House 美丰味饮食中心,1.5461905595591523,103.76265830803736,894,4bf58dd8d48988d142941735,Asian Restaurant
PINANG SAGU,TEBRAU,JOHOR,1.5524713783823945,103.76077020750004,2454,4ceddd1313aea14319766a9f,锦成茶楼 Restoran Gim Cheng,1.549358970636554,103.76487640401079,573,4bf58dd8d48988d142941735,Asian Restaurant
PINANG SAGU,TEBRAU,JOHOR,1.5524713783823945,103.76077020750004,2454,4cc684bd38aaa093f4db1e62,Kafe 1 Malaysia,1.546002672332197,103.76440077385712,825,4bf58dd8d48988d142941735,Asian Restaurant
PINANG SAGU,TEBRAU,JOHOR,1.5524713783823945,103.76077020750004,2454,4d05ee830e49721ef495787f,Restoran E&Y,1.5473467830160752,103.76357196982666,650,4bf58dd8d48988d142941735,Asian Restaurant
PINANG SAGU,TEBRAU,JOHOR,1.5524713783823945,103.76077020750004,2454,53410e16498e521f3c87cb03,福林园粿条仔,1.5498474764536456,103.7648436109358,539,4bf58dd8d48988d142941735,Asian Restaurant
PINANG SAGU,TEBRAU,JOHOR,1.5524713783823945,103.76077020750004,2454,535b41f2498e912615f0bce7,笨珍云吞面 Pontian Wantan Noodle,1.5454504166782548,103.76491901889544,907,4bf58dd8d48988d142941735,Asian Restaurant
RUMBIA DAYA,TEBRAU,JOHOR,1.5509624835833669,103.75293844704174,2837,578103a3498e90925d3d862b,Restoran Nasi Padang Meletop,1.5481833560035367,103.74503168854984,932,4bf58dd8d48988d142941735,Asian Restaurant
RUMBIA DAYA,TEBRAU,JOHOR,1.5509624835833669,103.75293844704174,2837,5991381e4940bc65f07f44d0,Restoran Qaseh Bonda,1.54721113958698,103.74581549555911,895,4bf58dd8d48988d142941735,Asian Restaurant
RUMBIA DAYA,TEBRAU,JOHOR,1.5509624835833669,103.75293844704174,2837,518db473498e355499d7dd5d,Restoran Selera Ummi,1.548246,103.744693,966,4bf58dd8d48988d142941735,Asian Restaurant
JALAN TAMPOI,PULAI,JOHOR,1.5164564703200398,103.72018802610009,1361,4d6eeaf8516b8cfa49c44910,Warung Sayang Al Mizan,1.5177300037096302,103.72450179021976,500,4bf58dd8d48988d142941735,Asian Restaurant
LADANG TEBRAU,TEBRAU,JOHOR,1.5573830937681503,103.74189112507251,1063,4d3053827791224bd6f0cf42,Restoran Al-Fayed,1.5651727625823546,103.74060380664407,878,4bf58dd8d48988d142941735,Asian Restaurant
DESA RAHMAT,PULAI,JOHOR,1.5074240899130784,103.7014378507392,2401,4d75c972bd73548113fb0cb3,Asam Pedas Taman Desa Rahmat,1.5009425662911091,103.70762221654064,997,4bf58dd8d48988d142941735,Asian Restaurant
DESA RAHMAT,PULAI,JOHOR,1.5074240899130784,103.7014378507392,2401,4d2e590ad9d8a143c8edf8d7,Nasi Padang Kak Yah,1.5124626387498668,103.70696287068563,832,4bf58dd8d48988d142941735,Asian Restaurant
DESA RAHMAT,PULAI,JOHOR,1.5074240899130784,103.7014378507392,2401,54f51099498ed05b509cc0f3,Kayan Licious,1.5078237010766975,103.71008442200079,963,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN ABAD,JOHOR BAHRU,JOHOR,1.4867153413200336,103.76014665800007,2175,563edc9acd10d28866d2e04e,Eleven Kitchen,1.4877232047647864,103.75514046653588,568,4bf58dd8d48988d142941735,Asian Restaurant
TAMAN ABAD,JOHOR BAHRU,JOHOR,1.4867153413200336,103.76014665800007,2175,588598b6084be507653f914e,Mee Rebus House,1.4894790946276515,103.76206792247896,374,4bf58dd8d48988d142941735,Asian Restaurant
ABAD JAYA 2,JOHOR BAHRU,JOHOR,1.4864706860322894,103.75664096500005,1842,529c1aa111d2f2ca50d91eb0,Restoran Thong Yen 唐人菜馆,1.4904219007201156,103.76307251884884,840,4bf58dd8d48988d142941735,Asian Restaurant
BANDAR SKUDAI TENGAH,GELANG PATAH,JOHOR,1.5378491716666922,103.66129917141672,2233,50ecc24de4b0b31976bfc11b,何明记全旦云吞面,1.5311416979842487,103.66526671429472,867,4bf58dd8d48988d142941735,Asian Restaurant
BUKIT CHAGAR,JOHOR BAHRU,JOHOR,1.4694537718000371,103.76328550050005,2358,5de20e1ebc72980008353138,Kedai Makan Nasi Ayam KEE CHUP,1.4613639999999999,103.76110200000001,932,4bf58dd8d48988d142941735,Asian Restaurant
BUKIT CHAGAR,JOHOR BAHRU,JOHOR,1.4694537718000371,103.76328550050005,2358,4d6ccae0cb0eb1f7b2aea2a0,Restoran Makanan Bawean,1.477848,103.76131,959,4bf58dd8d48988d142941735,Asian Restaurant
BUKIT MEWAH,PULAI,JOHOR,1.5187846440816488,103.68423692571432,3821,537586bf11d20b26da92c1d0,Food Habit 食惯,1.5196691394844388,103.67891764231291,600,4bf58dd8d48988d142941735,Asian Restaurant
LUMBA KUDA,JOHOR BAHRU,JOHOR,1.4669703370697988,103.76644004379074,3069,4d02fc00c2e5370449e6ae67,Kedai Makan Jadi Baru Botak 新自立食館,1.4607572059448328,103.76747037605415,701,4bf58dd8d48988d142941735,Asian Restaurant
KULAI,KULAI,JOHOR,1.6454887748696054,103.60597535763053,4930,51c5a8c2498e40dc94e367c9,Restoran Tomyam Anisah,1.6424114603510218,103.61365612040441,920,4bf58dd8d48988d142941735,Asian Restaurant
KAMPONG PULAI,GELANG PATAH,JOHOR,1.4777956489769482,103.57443837282308,894,517a74c4e4b008b08e593f50,Mee Bandung Banjir,1.4818205516483047,103.57963639240609,731,4bf58dd8d48988d142941735,Asian Restaurant
SRI PULAI,KULAI,JOHOR,1.5519428128906536,103.64959145975004,5133,4dc4a3a8814d1bfbca2b1ff9,Tembaga Tomyam Seafood,1.5456130808595108,103.6557640676378,984,4bf58dd8d48988d142941735,Asian Restaurant
SRI PULAI,KULAI,JOHOR,1.5519428128906536,103.64959145975004,5133,4fa29951e4b0e0605e1e23f2,Warisan Sinar Maju,1.5473297886390367,103.6518734781662,572,4bf58dd8d48988d142941735,Asian Restaurant
SRI PULAI,KULAI,JOHOR,1.5519428128906536,103.64959145975004,5133,54f1c612498e38495b946d86,Klasik @Galleria Kafe,1.54937763609706,103.65209859084702,399,4bf58dd8d48988d142941735,Asian Restaurant
SRI PULAI,KULAI,JOHOR,1.5519428128906536,103.64959145975004,5133,4d2edc214377224bbff41138,Restoran Tomyam Awan,1.544655640150754,103.65487210190172,1001,4bf58dd8d48988d142941735,Asian Restaurant
SRI PULAI,KULAI,JOHOR,1.5519428128906536,103.64959145975004,5133,4efacc6693ad7cf2ed66e807,Cafe Qisadani,1.5533943455955743,103.64089827960177,980,4bf58dd8d48988d142941735,Asian Restaurant
KEBANGSAAN,GELANG PATAH,JOHOR,1.5381065117097117,103.62930303500004,3418,4c5bac8c6147be9a96608d09,Green Jade Republic,1.5410427724107447,103.6310242506602,378,4bf58dd8d48988d142941735,Asian Restaurant
KEBANGSAAN,GELANG PATAH,JOHOR,1.5381065117097117,103.62930303500004,3418,4d147d4f8312236a3fb84aba,Restoran Che Mek,1.5385063494484263,103.63043844974514,133,4bf58dd8d48988d142941735,Asian Restaurant
KEBANGSAAN,GELANG PATAH,JOHOR,1.5381065117097117,103.62930303500004,3418,548c291e498e6a8ec9bc8055,Restoran Asam Pedas & BBQ,1.5461973823568909,103.62826635607156,908,4bf58dd8d48988d142941735,Asian Restaurant
KEBANGSAAN,GELANG PATAH,JOHOR,1.5381065117097117,103.62930303500004,3418,4d7c7f055a396dcb0a6276fb,Cendol Taman Universiti,1.5409675526309106,103.6310352712815,372,4bf58dd8d48988d142941735,Asian Restaurant
KEBANGSAAN,GELANG PATAH,JOHOR,1.5381065117097117,103.62930303500004,3418,4b9a6cf5f964a52042b435e3,Restoran Bibik,1.5457045343259126,103.6277778551532,862,4bf58dd8d48988d142941735,Asian Restaurant
KEBANGSAAN,GELANG PATAH,JOHOR,1.5381065117097117,103.62930303500004,3418,4deb6c16ae60e98923721ca2,Restoran Sudi Mampir,1.5447959900431385,103.62876940911416,747,4bf58dd8d48988d142941735,Asian Restaurant
AYER MOLEK,PULAI,JOHOR,1.4654621670416972,103.7595247002084,1236,4e1e7f4baeb7fe88acddb881,Asam Pedas Dan Ayam Penyet Kak Nor,1.4598283094548434,103.7641255905406,809,4bf58dd8d48988d142941735,Asian Restaurant
GELANG PATAH UTARA,GELANG PATAH,JOHOR,1.4631827298936482,103.58356237682982,5381,52590c8c11d2af3dfb3a2031,Restoran Dapur Merah,1.4604580803184526,103.58370872865991,303,4bf58dd8d48988d142941735,Asian Restaurant
GELANG PATAH UTARA,GELANG PATAH,JOHOR,1.4631827298936482,103.58356237682982,5381,5a741dbd840fc22ccf8f9fd6,Talip's Chicken Rice Restaurant,1.4717350033306047,103.5840814234561,953,4bf58dd8d48988d142941735,Asian Restaurant
