Town_Neighborhood,District,State,Latitude,Longitude,Number_of_Residents,Venue_ID,Venue_Name,Venue_Lat,Venue_Lon,Venue_Distance,Venue_Cat_ID,Venue_Category,Clus_Db
AYER MOLEK,PULAI,JOHOR,1.4654621670416972,103.7595247002084,1236,585f81ff727ba373f2fc834e,Din Tai Fung 鼎泰丰,1.4619406181944048,103.76346350607237,588.0,52af3b813cf9994f4e043c04,Taiwanese Restaurant,0
AYER MOLEK,PULAI,JOHOR,1.4654621670416972,103.7595247002084,1236,4e1e7f4baeb7fe88acddb881,Asam Pedas Dan Ayam Penyet Kak Nor,1.4598283094548434,103.7641255905406,809.0,4bf58dd8d48988d142941735,Asian Restaurant,0
BAKAR BATU,JOHOR BAHRU,JOHOR,1.4843161052403326,103.78744011423255,3827,4ccd2291ba79a1cdd3d93fcb,Restoran Ah Meng 阿明家乡三楼干米粉,1.4911778788923855,103.78567317703943,788.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
BAKAR BATU,JOHOR BAHRU,JOHOR,1.4843161052403326,103.78744011423255,3827,4c9cc93e7c096dcb7bb2c4d1,Restoran Makanan Laut KEONG KEE 强记海鲜饭店,1.4913207041230614,103.78675849941416,783.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,4c70e1e3b5a5236ab3b25152,Kam Long Curry Fish Head 金龙咖哩鱼头,1.4592460942997163,103.76478162779553,238.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,4d02fc00c2e5370449e6ae67,Kedai Makan Jadi Baru Botak 新自立食館,1.4607572059448328,103.76747037605415,425.0,4bf58dd8d48988d142941735,Asian Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,4b84a5a9f964a520a43f31e3,Restoran Hua Mui 华美茶餐室,1.4573003052754965,103.76424594567824,169.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,5de20e1ebc72980008353138,Kedai Makan Nasi Ayam KEE CHUP,1.4613639999999999,103.76110200000001,685.0,4bf58dd8d48988d142941735,Asian Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,4c233fbe13c00f4778ac88de,Kai Xuan Chinese Restaurant 凯旋,1.4606238384945105,103.76222897606407,537.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,4cba8704adcd548133e523a2,Restoran Shang Ji 上记,1.4611038073842997,103.76738437776231,456.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,4c8334dbe602b1f7d44ba47a,Restoran Ya Wang 鸭皇药材烧腊大王,1.4580781762105686,103.7643480838035,177.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,4e1e7f4baeb7fe88acddb881,Asam Pedas Dan Ayam Penyet Kak Nor,1.4598283094548434,103.7641255905406,331.0,4bf58dd8d48988d142941735,Asian Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,57aabb5f498e9672988d4ce6,Souper Tang 湯師父,1.4619159523081169,103.76388870635023,550.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,4dc38ca52271f27050fda97d,Restoran Hwa Mei 华美肉骨茶,1.4607025440755532,103.76749526052276,420.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
BANDAR,PULAI,JOHOR,1.457340134850019,103.76576532020005,1853,507bc59ee4b04c2b98813079,Dapur Jendela,1.4564042781515416,103.76338708559055,284.0,4bf58dd8d48988d142941735,Asian Restaurant,0
BANDAR KULAI TENGAH,KULAI,JOHOR,1.6576188401538725,103.60240703623079,2039,4d2e07a05055a35d07518fca,Mok Gao 莫搞牛肉面,1.66047460257123,103.603865199581,356.0,4bf58dd8d48988d145941735,Chinese Restaurant,1
BANDAR KULAI TENGAH,KULAI,JOHOR,1.6576188401538725,103.60240703623079,2039,4f7057f3e4b08610792b34d1,Guoma 锅妈台式火锅,1.6619708708120289,103.60164965559576,491.0,4bf58dd8d48988d142941735,Asian Restaurant,1
BANDAR KULAI TENGAH,KULAI,JOHOR,1.6576188401538725,103.60240703623079,2039,4d8e8553ca75b60c84a301a9,远远来云吞面,1.65997595027803,103.6029449594574,269.0,4bf58dd8d48988d145941735,Chinese Restaurant,1
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160,4cfe0be2d7206ea877344c69,Warung Nasi Lemak Wak Kentut,1.6520225354519738,103.61017715340724,527.0,4bf58dd8d48988d142941735,Asian Restaurant,1
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160,4d2e07a05055a35d07518fca,Mok Gao 莫搞牛肉面,1.66047460257123,103.603865199581,840.0,4bf58dd8d48988d145941735,Chinese Restaurant,1
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160,4c01fe7ca8e676b05bdfc532,新强记烧臘餐店Restaurant Sin Keong Kee,1.651779515477074,103.61048552061882,567.0,4bf58dd8d48988d145941735,Chinese Restaurant,1
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160,50d6e11fe4b0bc5a5c071c75,海外天海鲜饭店,1.6495404016685462,103.61108859971766,732.0,4bf58dd8d48988d142941735,Asian Restaurant,1
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160,51583f9ae4b0f0f5aeffac49,Nasi Lemak Kukus Ayam Berempab Ayahanda Bonda,1.651884897809842,103.59891021240543,753.0,4bf58dd8d48988d142941735,Asian Restaurant,1
BANDAR KULAI TIMOR,KULAI,JOHOR,1.653115071000039,103.6055662343182,2160,57e9dec7498e9744694d0d9e,isnur catering,1.650262,103.598745,822.0,4bf58dd8d48988d142941735,Asian Restaurant,1
BANDAR MASAI UTARA,PASIR GUDANG,JOHOR,1.4931000950952704,103.88252047609528,396,4d01b2b418ff8cfa986ac057,Pondok Minang Mirza Nasi Padang,1.4871770654663587,103.88485239708052,708.0,4bf58dd8d48988d142941735,Asian Restaurant,2
BANDAR MASAI UTARA,PASIR GUDANG,JOHOR,1.4931000950952704,103.88252047609528,396,4d53ff072f638cfa8c2f696a,快乐园肉骨茶,1.4859964266469772,103.88262951276012,790.0,4bf58dd8d48988d145941735,Chinese Restaurant,2
BANDAR MASAI UTARA,PASIR GUDANG,JOHOR,1.4931000950952704,103.88252047609528,396,4f54e384e4b07c31b6187a19,Bucida Garden,1.4944624859241196,103.87519958063368,828.0,4bf58dd8d48988d142941735,Asian Restaurant,2
BANDAR MASAI UTARA,PASIR GUDANG,JOHOR,1.4931000950952704,103.88252047609528,396,507421c5e4b0421019b3eba5,Nasi Lemak Ayam Besar Masai,1.4874120000000002,103.881915,636.0,4bf58dd8d48988d142941735,Asian Restaurant,2
